Ship/Navire,Date(GMT),Longitude,Latitude,Deph/Profondeur(m),Temperature/Température(ºC),Salinity/Salinité
CABOT,2012-01-03 08:00:29,-53.11720,49.22500,3.0,0.90,32.09
CABOT,2012-01-03 08:10:29,-53.14200,49.26220,3.0,0.87,31.96
CABOT,2012-01-03 08:20:29,-53.16700,49.29900,3.0,0.84,31.91
CABOT,2012-01-03 08:30:29,-53.19170,49.33580,3.0,0.86,31.92
CABOT,2012-01-03 08:40:29,-53.21680,49.37220,3.0,0.88,32.15
CABOT,2012-01-03 08:50:29,-53.24170,49.40900,3.0,0.94,32.12
CABOT,2012-01-03 09:00:29,-53.26620,49.44630,3.0,0.87,32.12
CABOT,2012-01-03 09:10:29,-53.29120,49.48350,3.0,0.84,32.15
CABOT,2012-01-03 09:20:29,-53.31620,49.52050,3.0,0.82,32.17
CABOT,2012-01-03 09:30:29,-53.34130,49.55750,3.0,0.95,32.03
CABOT,2012-01-03 09:40:29,-53.36620,49.59470,3.0,0.85,32.02
CABOT,2012-01-03 09:50:29,-53.39100,49.63130,3.0,0.82,32.01
CABOT,2012-01-03 10:00:29,-53.41580,49.66780,3.0,0.84,32.08
CABOT,2012-01-03 10:10:29,-53.44080,49.70470,3.0,0.74,32.13
CABOT,2012-01-03 10:20:29,-53.46550,49.74120,3.0,0.67,32.12
CABOT,2012-01-03 10:30:29,-53.49000,49.77720,3.0,0.84,32.09
CABOT,2012-01-03 10:40:29,-53.51400,49.81230,3.0,0.84,32.03
CABOT,2012-01-03 10:50:29,-53.53770,49.84730,3.0,0.88,32.07
CABOT,2012-01-03 11:00:29,-53.56150,49.88220,3.0,0.80,32.05
CABOT,2012-01-03 11:10:29,-53.58530,49.91720,3.0,0.80,32.12
CABOT,2012-01-03 11:20:29,-53.60870,49.95200,3.0,0.73,32.12
CABOT,2012-01-03 11:30:29,-53.63250,49.98650,3.0,0.62,32.16
CABOT,2012-01-03 11:40:29,-53.66020,50.01880,3.0,0.56,32.40
CABOT,2012-01-03 11:50:29,-53.69020,50.05070,3.0,0.62,32.16
CABOT,2012-01-03 12:00:29,-53.72070,50.08250,3.0,0.62,32.15
CABOT,2012-01-03 12:10:29,-53.75150,50.11450,3.0,0.60,32.14
CABOT,2012-01-03 12:20:29,-53.78200,50.14630,3.0,0.53,32.22
CABOT,2012-01-03 12:30:29,-53.81300,50.17850,3.0,0.63,32.37
CABOT,2012-01-03 12:40:29,-53.84420,50.21080,3.0,0.51,32.44
CABOT,2012-01-03 12:50:29,-53.87570,50.24350,3.0,0.59,32.61
CABOT,2012-01-03 13:00:29,-53.90780,50.27670,3.0,0.67,32.72
CABOT,2012-01-03 13:10:29,-53.93980,50.31030,3.0,0.64,32.74
CABOT,2012-01-03 13:20:29,-53.97170,50.34380,3.0,0.63,32.73
CABOT,2012-01-03 13:30:29,-54.00350,50.37750,3.0,0.69,32.71
CABOT,2012-01-03 13:40:29,-54.03580,50.41120,3.0,0.65,32.71
CABOT,2012-01-03 13:50:29,-54.06830,50.44480,3.0,0.64,32.74
CABOT,2012-01-03 14:00:29,-54.10270,50.47770,3.0,0.73,32.74
CABOT,2012-01-03 14:10:29,-54.13580,50.51150,3.0,0.83,32.75
CABOT,2012-01-03 14:20:29,-54.16830,50.54570,3.0,0.60,32.74
CABOT,2012-01-03 14:30:29,-54.20070,50.57980,3.0,0.68,32.77
CABOT,2012-01-03 14:40:29,-54.23280,50.61430,3.0,0.68,32.78
CABOT,2012-01-03 14:50:29,-54.26570,50.64850,3.0,0.70,32.79
CABOT,2012-01-03 15:00:29,-54.30000,50.68250,3.0,0.75,32.79
CABOT,2012-01-03 15:10:29,-54.33350,50.71550,3.0,0.40,32.67
CABOT,2012-01-03 15:20:29,-54.36670,50.74850,3.0,0.31,32.56
CABOT,2012-01-03 15:30:29,-54.39870,50.78220,3.0,0.47,32.60
CABOT,2012-01-03 15:40:29,-54.42970,50.81500,3.0,-0.14,32.37
