Ship/Navire,Date(GMT),Longitude,Latitude,Deph/Profondeur(m),Temperature/Température(ºC),Salinity/Salinité
CONNAIGRA,2022-01-03 08:00:01,-52.61870,47.43580,7.5,2.16,31.72
CONNAIGRA,2022-01-03 08:10:01,-52.63750,47.39120,7.5,2.10,31.75
CONNAIGRA,2022-01-03 08:20:01,-52.65620,47.35000,7.5,2.07,31.74
CONNAIGRA,2022-01-03 08:30:01,-52.67480,47.30700,7.5,2.08,31.74
CONNAIGRA,2022-01-03 08:40:01,-52.69450,47.26330,7.5,2.13,31.72
CONNAIGRA,2022-01-03 08:50:01,-52.71500,47.21820,7.5,2.15,31.73
CONNAIGRA,2022-01-03 09:00:01,-52.73700,47.17280,7.5,2.11,31.74
CONNAIGRA,2022-01-03 09:10:01,-52.75900,47.12520,7.5,2.09,31.74
CONNAIGRA,2022-01-03 09:20:01,-52.77950,47.07800,7.5,2.11,31.74
CONNAIGRA,2022-01-03 09:30:01,-52.79800,47.03150,7.5,2.09,31.75
CONNAIGRA,2022-01-03 09:40:01,-52.81770,46.98600,7.5,2.02,31.77
CONNAIGRA,2022-01-03 09:50:01,-52.83650,46.94270,7.5,1.97,31.84
CONNAIGRA,2022-01-03 10:00:01,-52.85500,46.89730,7.5,2.03,31.82
CONNAIGRA,2022-01-03 10:10:01,-52.87380,46.85420,7.5,2.05,31.81
CONNAIGRA,2022-01-03 10:20:01,-52.89320,46.81050,7.5,2.07,31.82
CONNAIGRA,2022-01-03 10:30:01,-52.91380,46.76630,7.5,2.16,31.78
CONNAIGRA,2022-01-03 10:40:01,-52.94920,46.72720,7.5,2.20,31.75
CONNAIGRA,2022-01-03 10:50:01,-52.98450,46.69070,7.5,2.19,31.75
CONNAIGRA,2022-01-03 11:00:01,-53.01970,46.65480,7.5,2.17,31.77
CONNAIGRA,2022-01-03 11:10:01,-53.05780,46.62170,7.5,2.18,31.77
CONNAIGRA,2022-01-03 11:20:01,-53.10750,46.59600,7.5,2.24,31.75
CONNAIGRA,2022-01-03 11:30:01,-53.16420,46.57650,7.5,2.38,31.70
CONNAIGRA,2022-01-03 11:40:01,-53.22330,46.56180,7.5,2.67,31.61
CONNAIGRA,2022-01-03 11:50:01,-53.28430,46.54780,7.5,2.91,31.57
CONNAIGRA,2022-01-03 12:00:01,-53.34500,46.53600,7.5,2.95,31.56
CONNAIGRA,2022-01-03 12:10:01,-53.40450,46.52350,7.5,2.68,31.64
CONNAIGRA,2022-01-03 12:20:01,-53.46600,46.51330,7.5,2.77,31.61
CONNAIGRA,2022-01-03 12:30:01,-53.53030,46.50900,7.5,3.07,31.56
CONNAIGRA,2022-01-03 12:40:01,-53.59450,46.50670,7.5,3.34,31.56
CONNAIGRA,2022-01-03 12:50:01,-53.65800,46.50600,7.5,3.45,31.58
CONNAIGRA,2022-01-03 13:00:00,-53.72150,46.50580,7.5,3.51,31.57
CONNAIGRA,2022-01-03 13:10:01,-53.78520,46.50480,7.5,3.56,31.57
CONNAIGRA,2022-01-03 13:20:01,-53.84750,46.50370,7.5,3.57,31.57
CONNAIGRA,2022-01-03 13:30:01,-53.91050,46.50250,7.5,3.58,31.57
CONNAIGRA,2022-01-03 13:40:01,-53.97430,46.50130,7.5,3.44,31.62
CONNAIGRA,2022-01-03 13:50:01,-54.03850,46.49970,7.5,3.37,31.66
CONNAIGRA,2022-01-03 14:00:01,-54.10250,46.49980,7.5,3.23,31.68
CONNAIGRA,2022-01-03 14:10:00,-54.16700,46.49980,7.5,3.17,31.69
CONNAIGRA,2022-01-03 14:20:01,-54.23250,46.49980,7.5,3.13,31.68
CONNAIGRA,2022-01-03 14:30:01,-54.29800,46.49980,7.5,3.14,31.66
CONNAIGRA,2022-01-03 14:40:00,-54.36120,46.49980,7.5,2.96,31.70
CONNAIGRA,2022-01-03 14:50:00,-54.42280,46.49980,7.5,2.99,31.67
