Ship/Navire,Date(GMT),Longitude,Latitude,Deph/Profondeur(m),Temperature/Température(ºC),Salinity/Salinité
CONNAIGRA,2017-01-03 08:00:12,-52.69420,47.24650,7.5,1.17,31.80
CONNAIGRA,2017-01-03 08:10:12,-52.72070,47.18720,7.5,1.06,31.84
CONNAIGRA,2017-01-03 08:20:12,-52.74750,47.12770,7.5,1.02,31.88
CONNAIGRA,2017-01-03 08:30:12,-52.77420,47.06870,7.5,0.92,31.93
CONNAIGRA,2017-01-03 08:40:12,-52.80150,47.00880,7.5,0.88,31.92
CONNAIGRA,2017-01-03 08:50:12,-52.83030,46.94880,7.5,0.98,31.76
CONNAIGRA,2017-01-03 09:00:12,-52.85730,46.88930,7.5,1.03,31.67
CONNAIGRA,2017-01-03 09:10:12,-52.88380,46.83080,7.5,1.12,31.62
CONNAIGRA,2017-01-03 09:20:12,-52.91020,46.77220,7.5,1.17,31.57
CONNAIGRA,2017-01-03 09:30:12,-52.95480,46.72050,7.5,1.20,31.55
CONNAIGRA,2017-01-03 09:40:12,-53.00320,46.66950,7.5,1.20,31.57
CONNAIGRA,2017-01-03 09:50:12,-53.05370,46.62170,7.5,1.24,31.66
CONNAIGRA,2017-01-03 10:00:12,-53.12250,46.58750,7.5,1.24,31.67
CONNAIGRA,2017-01-03 10:10:12,-53.19450,46.56750,7.5,1.22,31.70
CONNAIGRA,2017-01-03 10:20:12,-53.27150,46.55920,7.5,1.23,31.73
CONNAIGRA,2017-01-03 10:30:12,-53.34870,46.55070,7.5,1.24,31.75
CONNAIGRA,2017-01-03 10:40:12,-53.42620,46.54230,7.5,1.30,31.69
CONNAIGRA,2017-01-03 10:50:12,-53.50100,46.53420,7.5,1.35,31.69
CONNAIGRA,2017-01-03 11:00:12,-53.57630,46.53130,7.5,1.37,31.65
CONNAIGRA,2017-01-03 11:10:12,-53.65420,46.53530,7.5,1.39,31.64
CONNAIGRA,2017-01-03 11:20:12,-53.73200,46.53900,7.5,1.40,31.64
CONNAIGRA,2017-01-03 11:30:12,-53.80750,46.54270,7.5,1.37,31.71
CONNAIGRA,2017-01-03 11:40:12,-53.88520,46.54630,7.5,1.45,31.75
