Ship/Navire,Date(GMT),Longitude,Latitude,Deph/Profondeur(m),Temperature/Température(ºC),Salinity/Salinité
CONNAIGRA,2020-01-04 20:00:10,-73.49650,45.61830,7.5,1.65,0.14
CONNAIGRA,2020-01-04 20:10:10,-73.47720,45.64780,7.5,1.72,0.14
CONNAIGRA,2020-01-04 20:20:10,-73.45400,45.68330,7.5,1.78,0.14
CONNAIGRA,2020-01-04 20:30:10,-73.43200,45.71880,7.5,1.85,0.14
CONNAIGRA,2020-01-04 20:40:10,-73.39770,45.75050,7.5,1.88,0.14
CONNAIGRA,2020-01-04 20:50:10,-73.36100,45.78020,7.5,1.90,0.14
CONNAIGRA,2020-01-04 21:00:10,-73.32080,45.80850,7.5,1.89,0.14
CONNAIGRA,2020-01-04 21:10:10,-73.28450,45.83830,7.5,1.91,0.14
CONNAIGRA,2020-01-04 21:20:10,-73.25530,45.87230,7.5,1.91,0.14
CONNAIGRA,2020-01-04 21:30:10,-73.21980,45.90320,7.5,1.91,0.14
CONNAIGRA,2020-01-04 21:40:10,-73.21250,45.94250,7.5,1.90,0.14
CONNAIGRA,2020-01-04 21:50:10,-73.18700,45.98250,7.5,1.89,0.14
CONNAIGRA,2020-01-04 22:00:10,-73.16970,46.02430,7.5,1.90,0.14
CONNAIGRA,2020-01-04 22:10:10,-73.13900,46.05050,7.5,1.89,0.14
CONNAIGRA,2020-01-04 22:20:10,-73.08500,46.06070,7.5,1.89,0.15
CONNAIGRA,2020-01-04 22:30:10,-73.03100,46.07250,7.5,1.87,0.15
CONNAIGRA,2020-01-04 22:40:10,-72.99150,46.09400,7.5,1.86,0.15
CONNAIGRA,2020-01-04 22:50:10,-72.96170,46.11700,7.5,1.85,0.15
CONNAIGRA,2020-01-04 23:00:10,-72.95000,46.14720,7.5,1.82,0.15
CONNAIGRA,2020-01-04 23:10:10,-72.92550,46.17280,7.5,1.81,0.15
CONNAIGRA,2020-01-04 23:20:10,-72.89070,46.19220,7.5,1.80,0.15
CONNAIGRA,2020-01-04 23:30:10,-72.84870,46.20300,7.5,1.79,0.15
CONNAIGRA,2020-01-04 23:40:10,-72.80780,46.21550,7.5,1.77,0.15
CONNAIGRA,2020-01-04 23:50:10,-72.77100,46.23280,7.5,1.76,0.14
CONNAIGRA,2020-01-05 00:00:10,-72.73330,46.25030,7.5,1.75,0.14
CONNAIGRA,2020-01-05 00:10:10,-72.69300,46.26300,7.5,1.71,0.14
CONNAIGRA,2020-01-05 00:20:10,-72.64780,46.26330,7.5,1.70,0.14
CONNAIGRA,2020-01-05 00:30:10,-72.60880,46.28020,7.5,1.68,0.14
CONNAIGRA,2020-01-05 00:40:10,-72.57320,46.29950,7.5,1.63,0.14
CONNAIGRA,2020-01-05 00:50:10,-72.55170,46.31850,7.5,1.61,0.14
CONNAIGRA,2020-01-05 01:00:10,-72.52920,46.33630,7.5,1.59,0.14
CONNAIGRA,2020-01-05 01:10:10,-72.48830,46.36830,7.5,1.51,0.14
CONNAIGRA,2020-01-05 01:20:10,-72.42380,46.38800,7.5,1.42,0.14
CONNAIGRA,2020-01-05 01:30:10,-72.37370,46.41680,7.5,1.36,0.14
CONNAIGRA,2020-01-05 01:40:10,-72.32370,46.43730,7.5,1.33,0.17
CONNAIGRA,2020-01-05 01:50:10,-72.26350,46.44680,7.5,1.30,0.16
