Ship/Navire,Date(GMT),Longitude,Latitude,Deph/Profondeur(m),Temperature/Température(ºC),Salinity/Salinité
CONNAIGRA,2015-01-23 22:59:48,-73.47250,45.65330,7.5,0.61,0.11
CONNAIGRA,2015-01-23 23:09:48,-73.45220,45.69020,7.5,0.56,0.12
CONNAIGRA,2015-01-23 23:19:48,-73.42550,45.72520,7.5,0.50,0.12
CONNAIGRA,2015-01-23 23:29:48,-73.39070,45.75750,7.5,0.45,0.12
CONNAIGRA,2015-01-23 23:39:48,-73.35030,45.78520,7.5,0.40,0.13
CONNAIGRA,2015-01-23 23:49:48,-73.31270,45.81450,7.5,0.38,0.13
CONNAIGRA,2015-01-23 23:59:48,-73.27620,45.84520,7.5,0.36,0.13
CONNAIGRA,2015-01-24 00:09:48,-73.24900,45.87920,7.5,0.34,0.13
CONNAIGRA,2015-01-24 00:19:48,-73.21470,45.91020,7.5,0.32,0.13
CONNAIGRA,2015-01-24 00:29:48,-73.20970,45.95180,7.5,0.30,0.13
CONNAIGRA,2015-01-24 00:39:48,-73.18000,45.99620,7.5,0.28,0.13
CONNAIGRA,2015-01-24 00:49:48,-73.16020,46.04200,7.5,0.27,0.13
CONNAIGRA,2015-01-24 00:59:48,-73.11350,46.05600,7.5,0.29,0.13
CONNAIGRA,2015-01-24 01:09:48,-73.05600,46.06330,7.5,0.27,0.14
CONNAIGRA,2015-01-24 01:19:48,-73.00850,46.08470,7.5,0.26,0.14
CONNAIGRA,2015-01-24 01:29:48,-72.97400,46.10550,7.5,0.28,0.14
CONNAIGRA,2015-01-24 01:39:48,-72.95400,46.13280,7.5,0.28,0.15
CONNAIGRA,2015-01-24 01:49:48,-72.93950,46.16230,7.5,0.30,0.14
CONNAIGRA,2015-01-24 01:59:48,-72.90830,46.18450,7.5,0.27,0.14
CONNAIGRA,2015-01-24 02:09:48,-72.86850,46.19820,7.5,0.28,0.14
CONNAIGRA,2015-01-24 02:19:48,-72.82620,46.20900,7.5,0.29,0.14
CONNAIGRA,2015-01-24 02:29:48,-72.78770,46.22470,7.5,0.27,0.14
CONNAIGRA,2015-01-24 02:39:48,-72.75100,46.24230,7.5,0.28,0.14
CONNAIGRA,2015-01-24 02:49:48,-72.71400,46.25950,7.5,0.27,0.14
CONNAIGRA,2015-01-24 02:59:48,-72.67120,46.26300,7.5,0.25,0.14
CONNAIGRA,2015-01-24 03:09:48,-72.62720,46.27050,7.5,0.23,0.13
CONNAIGRA,2015-01-24 03:19:48,-72.58920,46.28980,7.5,0.23,0.13
CONNAIGRA,2015-01-24 03:29:48,-72.55920,46.30920,7.5,0.23,0.13
CONNAIGRA,2015-01-24 03:39:48,-72.54420,46.32670,7.5,0.26,0.13
CONNAIGRA,2015-01-24 03:49:48,-72.51780,46.34300,7.5,0.25,0.13
CONNAIGRA,2015-01-24 03:59:48,-72.47230,46.37450,7.5,0.23,0.13
CONNAIGRA,2015-01-24 04:09:48,-72.41430,46.39370,7.5,0.20,0.13
CONNAIGRA,2015-01-24 04:19:48,-72.36470,46.42330,7.5,0.25,0.13
CONNAIGRA,2015-01-24 04:29:48,-72.30250,46.43870,7.5,0.24,0.13
