Ship/Navire,Date(GMT),Longitude,Latitude,Deph/Profondeur(m),Temperature/Température(ºC),Salinity/Salinité
CABOT,2011-01-04 21:59:30,-73.48630,45.63420,3.0,0.78,0.12
CABOT,2011-01-04 22:09:30,-73.46280,45.66450,3.0,0.85,0.13
CABOT,2011-01-04 22:19:30,-73.44550,45.70000,3.0,0.81,0.13
CABOT,2011-01-04 22:29:30,-73.41720,45.73300,3.0,0.78,0.13
CABOT,2011-01-04 22:39:30,-73.38230,45.76450,3.0,0.74,0.13
CABOT,2011-01-04 22:49:30,-73.34170,45.79070,3.0,0.76,0.13
CABOT,2011-01-04 22:59:30,-73.30630,45.82050,3.0,0.76,0.13
CABOT,2011-01-04 23:09:30,-73.27170,45.85070,3.0,0.70,0.13
CABOT,2011-01-04 23:19:30,-73.24350,45.88450,3.0,0.69,0.13
CABOT,2011-01-04 23:29:30,-73.21400,45.91620,3.0,0.71,0.13
CABOT,2011-01-04 23:39:30,-73.20680,45.95630,3.0,0.70,0.13
CABOT,2011-01-04 23:49:30,-73.18120,45.99370,3.0,0.68,0.13
CABOT,2011-01-04 23:59:30,-73.16630,46.03370,3.0,0.51,0.12
CABOT,2011-01-05 00:09:30,-73.12150,46.05370,3.0,0.66,0.13
CABOT,2011-01-05 00:19:30,-73.06780,46.06230,3.0,0.65,0.13
CABOT,2011-01-05 00:29:30,-73.01770,46.07970,3.0,0.60,0.13
CABOT,2011-01-05 00:39:30,-72.97820,46.10230,3.0,0.55,0.13
CABOT,2011-01-05 00:49:30,-72.95620,46.12820,3.0,0.56,0.13
CABOT,2011-01-05 00:59:30,-72.94330,46.15830,3.0,0.59,0.13
CABOT,2011-01-05 01:09:30,-72.91400,46.18100,3.0,0.56,0.13
CABOT,2011-01-05 01:19:30,-72.87650,46.19620,3.0,0.57,0.13
CABOT,2011-01-05 01:29:30,-72.83520,46.20650,3.0,0.55,0.13
CABOT,2011-01-05 01:39:30,-72.79720,46.22070,3.0,0.55,0.13
CABOT,2011-01-05 01:49:30,-72.75950,46.23820,3.0,0.56,0.13
CABOT,2011-01-05 01:59:30,-72.72070,46.25620,3.0,0.55,0.12
CABOT,2011-01-05 02:09:30,-72.67680,46.26370,3.0,0.30,0.11
CABOT,2011-01-05 02:19:30,-72.63200,46.26820,3.0,0.56,0.13
CABOT,2011-01-05 02:29:30,-72.59500,46.28670,3.0,0.46,0.13
CABOT,2011-01-05 02:39:30,-72.56170,46.30670,3.0,0.43,0.13
CABOT,2011-01-05 02:49:30,-72.54230,46.32780,3.0,0.35,0.11
CABOT,2011-01-05 02:59:30,-72.50900,46.35080,3.0,0.32,0.12
CABOT,2011-01-05 03:09:30,-72.46080,46.37720,3.0,0.25,0.12
CABOT,2011-01-05 03:19:30,-72.40780,46.39650,3.0,0.29,0.12
CABOT,2011-01-05 03:29:30,-72.36130,46.42650,3.0,0.29,0.10
CABOT,2011-01-05 03:39:30,-72.30220,46.43920,3.0,0.30,0.11
CABOT,2011-01-05 03:49:30,-72.25170,46.46020,3.0,0.24,0.10
CABOT,2011-01-05 03:59:30,-72.22930,46.50250,3.0,0.23,0.12
CABOT,2011-01-05 04:09:30,-72.18250,46.53180,3.0,0.21,0.12
CABOT,2011-01-05 04:19:30,-72.12970,46.56030,3.0,0.28,0.12
CABOT,2011-01-05 04:29:30,-72.06100,46.56730,3.0,0.27,0.11
CABOT,2011-01-05 04:39:30,-72.00170,46.59250,3.0,0.21,0.11
CABOT,2011-01-05 04:49:30,-71.94800,46.62350,3.0,0.15,0.12
CABOT,2011-01-05 04:59:30,-71.89320,46.65970,3.0,0.18,0.11
CABOT,2011-01-05 05:09:30,-71.83600,46.67600,3.0,0.18,0.11
CABOT,2011-01-05 05:19:30,-71.77450,46.65420,3.0,0.14,0.11
CABOT,2011-01-05 05:29:30,-71.71330,46.63830,3.0,0.08,0.12
CABOT,2011-01-05 05:39:30,-71.64730,46.65120,3.0,0.09,0.11
CABOT,2011-01-05 05:49:30,-71.58500,46.67400,3.0,0.08,0.11
CABOT,2011-01-05 05:59:30,-71.52270,46.69630,3.0,0.09,0.11
CABOT,2011-01-05 06:09:30,-71.45330,46.71120,3.0,0.09,0.11
CABOT,2011-01-05 06:19:30,-71.37970,46.72220,3.0,0.08,0.10
CABOT,2011-01-05 06:29:30,-71.31270,46.74070,3.0,0.08,0.10
CABOT,2011-01-05 06:39:30,-71.24480,46.76480,3.0,0.08,0.10
CABOT,2011-01-05 06:49:30,-71.19980,46.80050,3.0,0.08,0.10
CABOT,2011-01-05 06:59:30,-71.18300,46.82700,3.0,0.07,0.10
CABOT,2011-01-05 07:09:30,-71.11450,46.83850,3.0,0.06,0.10
CABOT,2011-01-05 07:19:30,-71.03650,46.84470,3.0,0.06,0.11
CABOT,2011-01-05 07:29:30,-70.96430,46.86620,3.0,0.07,0.10
CABOT,2011-01-05 07:39:30,-70.90400,46.89580,3.0,0.07,0.11
CABOT,2011-01-05 07:49:30,-70.86080,46.93250,3.0,0.04,0.11
CABOT,2011-01-05 07:59:30,-70.82530,46.96950,3.0,0.05,0.11
CABOT,2011-01-05 08:09:30,-70.79070,47.00530,3.0,0.06,0.11
CABOT,2011-01-05 08:19:30,-70.75770,47.04000,3.0,0.06,0.11
CABOT,2011-01-05 08:29:30,-70.72930,47.07280,3.0,0.05,0.32
CABOT,2011-01-05 08:39:30,-70.70730,47.10670,3.0,-0.03,1.73
CABOT,2011-01-05 08:49:30,-70.67600,47.13970,3.0,-0.13,5.34
CABOT,2011-01-05 08:59:30,-70.64230,47.16900,3.0,-0.16,4.79
CABOT,2011-01-05 09:09:30,-70.61070,47.20030,3.0,-0.19,5.84
CABOT,2011-01-05 09:19:30,-70.57980,47.23230,3.0,-0.17,9.67
CABOT,2011-01-05 09:29:30,-70.54950,47.26300,3.0,-0.26,11.70
CABOT,2011-01-05 09:39:30,-70.52180,47.29330,3.0,-0.07,13.99
CABOT,2011-01-05 09:49:30,-70.49900,47.32830,3.0,0.09,16.16
CABOT,2011-01-05 09:59:30,-70.47570,47.36100,3.0,0.20,17.66
CABOT,2011-01-05 10:09:30,-70.45370,47.39380,3.0,0.28,19.14
CABOT,2011-01-05 10:19:30,-70.41820,47.42380,3.0,0.32,20.00
CABOT,2011-01-05 10:29:30,-70.36180,47.43450,3.0,0.23,19.46
CABOT,2011-01-05 10:39:30,-70.30080,47.44720,3.0,0.28,18.62
CABOT,2011-01-05 10:49:30,-70.23650,47.46080,3.0,0.41,19.52
CABOT,2011-01-05 10:59:30,-70.18130,47.48650,3.0,0.41,19.77
CABOT,2011-01-05 11:09:30,-70.13020,47.51900,3.0,0.45,20.27
CABOT,2011-01-05 11:19:30,-70.07600,47.55280,3.0,0.29,20.07
CABOT,2011-01-05 11:29:30,-70.02120,47.58820,3.0,0.17,21.39
CABOT,2011-01-05 11:39:30,-69.98120,47.63050,3.0,0.17,20.71
CABOT,2011-01-05 11:49:30,-69.94080,47.67270,3.0,0.36,22.20
CABOT,2011-01-05 11:59:30,-69.90280,47.71630,3.0,0.23,21.49
CABOT,2011-01-05 12:09:30,-69.86350,47.75920,3.0,0.21,21.56
CABOT,2011-01-05 12:19:30,-69.82200,47.80270,3.0,0.08,22.20
CABOT,2011-01-05 12:29:30,-69.78370,47.84730,3.0,0.27,22.30
CABOT,2011-01-05 12:39:30,-69.74470,47.89400,3.0,0.19,21.85
CABOT,2011-01-05 12:49:30,-69.70180,47.94130,3.0,-0.13,21.30
CABOT,2011-01-05 12:59:30,-69.65520,47.99070,3.0,0.03,21.63
CABOT,2011-01-05 13:09:30,-69.61620,48.04080,3.0,1.08,26.25
CABOT,2011-01-05 13:19:30,-69.58400,48.09030,3.0,1.59,28.04
CABOT,2011-01-05 13:29:30,-69.54130,48.13920,3.0,1.30,26.71
CABOT,2011-01-05 13:39:30,-69.49680,48.18380,3.0,1.60,28.32
CABOT,2011-01-05 13:49:30,-69.45930,48.22800,3.0,0.93,28.51
CABOT,2011-01-05 13:59:30,-69.42620,48.27070,3.0,1.40,29.25
CABOT,2011-01-05 14:09:30,-69.40170,48.30720,3.0,1.51,29.24
CABOT,2011-01-05 14:19:30,-69.36700,48.31580,3.0,1.23,28.94
CABOT,2011-01-05 14:29:30,-69.29920,48.32470,3.0,0.56,27.94
CABOT,2011-01-05 14:39:30,-69.22950,48.33270,3.0,0.38,27.84
CABOT,2011-01-05 14:49:30,-69.16770,48.35370,3.0,0.87,27.94
CABOT,2011-01-05 14:59:30,-69.11070,48.38100,3.0,1.39,28.29
